"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"fuente-osmenia.nlogox"
"experiment-2"
"05/29/2026 00:39:00:328 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-37","37","-37","37"
"[run number]","bin-placement","laziness-factor","litter-sensitivity-factor","group-litter-factor","arrival-rate","initial-litter","[step]","total-litter-events","bin-utilization-rate","total-agents-spawned","ticks"
"24","3","0","0","0","0","0","3500","0","0","0","3500"
"22","3","0","0","0","0","0","6500","0","0","0","6500"
"27","3","0","0","0","0","0","1000","0","0","0","1000"
"25","3","0","0","0","0","0","2000","0","0","0","2000"
"20","3","0","0","0","0","0","7000","0","0","0","7000"
"18","3","0","0","0","0","0","7500","0","0","0","7500"
"30","3","0","0","0","0","0","0","0","0","0","0"
"28","3","0","0","0","0","0","1000","0","0","0","1000"
"23","3","0","0","0","0","0","6500","0","0","0","6500"
"26","3","0","0","0","0","0","2000","0","0","0","2000"
"29","3","0","0","0","0","0","500","0","0","0","500"
"21","3","0","0","0","0","0","7000","0","0","0","7000"
"19","3","0","0","0","0","0","7500","0","0","0","7500"
"31","3","0","0","0","2.5","0","0","0","0","0","0"
"27","3","0","0","0","0","0","1500","0","0","0","1500"
"25","3","0","0","0","0","0","2500","0","0","0","2500"
"24","3","0","0","0","0","0","4000","0","0","0","4000"
"22","3","0","0","0","0","0","7000","0","0","0","7000"
"20","3","0","0","0","0","0","7500","0","0","0","7500"
"32","3","0","0","0","2.5","0","0","0","0","0","0"
"28","3","0","0","0","0","0","1500","0","0","0","1500"
"26","3","0","0","0","0","0","2500","0","0","0","2500"
"30","3","0","0","0","0","0","500","0","0","0","500"
"29","3","0","0","0","0","0","1000","0","0","0","1000"
"27","3","0","0","0","0","0","2000","0","0","0","2000"
"25","3","0","0","0","0","0","3000","0","0","0","3000"
"23","3","0","0","0","0","0","7000","0","0","0","7000"
"24","3","0","0","0","0","0","4500","0","0","0","4500"
"21","3","0","0","0","0","0","7500","0","0","0","7500"
"33","3","0","0","0","2.5","0","0","0","0","0","0"
"26","3","0","0","0","0","0","3000","0","0","0","3000"
"31","3","0","0","0","2.5","0","500","1","0.0015625","25","500"
"28","3","0","0","0","0","0","2000","0","0","0","2000"
"30","3","0","0","0","0","0","1000","0","0","0","1000"
